"","itemset","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12"
"562",562,"coffee","domestic eggs","ice cream","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA
"563",563,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564",564,"grapes","baking powder","abrasive cleaner","butter",NA,NA,NA,NA,NA,NA,NA,NA
"565",565,"abrasive cleaner","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"566",566,"coffee","baking powder","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"567",567,"ice cream","domestic eggs","coffee","fish","honey",NA,NA,NA,NA,NA,NA,NA
"568",568,"fish","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569",569,"frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",570,"frozen meals","butter","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"571",571,"grapes","abrasive cleaner","coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"572",572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573",573,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",574,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",575,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576",576,"frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578",578,"frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579",579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580",580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581",581,"baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582",582,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583",583,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584",584,"frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",585,"frozen meals","honey","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"586",586,"ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587",587,"frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",588,"frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",589,"frozen meals","ice cream","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"590",590,"butter","frozen meals","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"591",591,"coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"592",592,"cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593",593,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594",594,"frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595",595,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596",596,"cake bar","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597",597,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598",598,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",599,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",600,"frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"601",601,"coffee","abrasive cleaner","ice cream","baking powder","fish","frozen meals",NA,NA,NA,NA,NA,NA
"602",602,"baking powder","coffee","butter","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"603",603,"coffee","frozen meals","abrasive cleaner","fish","cake bar",NA,NA,NA,NA,NA,NA,NA
"604",604,"baking powder","cake bar","abrasive cleaner","ice cream","butter",NA,NA,NA,NA,NA,NA,NA
"605",605,"butter","honey","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",606,"butter","fish","domestic eggs","baking powder","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"607",607,"honey","cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"608",608,"ice cream","honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"609",609,"domestic eggs","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",610,"butter","grapes","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"611",611,"baking powder","domestic eggs","butter","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"612",612,"ice cream","frozen meals","coffee","fish",NA,NA,NA,NA,NA,NA,NA,NA
"613",613,"butter","baking powder","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"614",614,"cake bar","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"615",615,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",616,"abrasive cleaner","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",617,"frozen vegetables","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",618,"baking powder","grapes","butter","coffee","honey","frozen meals",NA,NA,NA,NA,NA,NA
"619",619,"fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621",621,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623",623,"ice cream","honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",624,"baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625",625,"cake bar","frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"626",626,"fish","frozen meals","honey","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA,NA
"627",627,"frozen vegetables","honey","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA
"628",628,"frozen meals","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",629,"frozen vegetables","baking powder","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"630",630,"butter","coffee","abrasive cleaner","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA
"631",631,"coffee","fish","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"632",632,"frozen meals","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"633",633,"coffee","butter","grapes","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"634",634,"butter","grapes","frozen vegetables","cake bar","frozen meals","ice cream",NA,NA,NA,NA,NA,NA
"635",635,"grapes","honey","butter","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"636",636,"ice cream","grapes","domestic eggs","butter","frozen vegetables","baking powder",NA,NA,NA,NA,NA,NA
"637",637,"butter","baking powder","frozen meals","frozen vegetables","coffee",NA,NA,NA,NA,NA,NA,NA
"638",638,"butter","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA,NA
"639",639,"baking powder","frozen vegetables","abrasive cleaner","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"640",640,"grapes","coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"641",641,"coffee","baking powder","frozen vegetables","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"642",642,"frozen meals","coffee","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"643",643,"fish","ice cream","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"644",644,"frozen vegetables","frozen meals","coffee","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"645",645,"ice cream","grapes","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"646",646,"butter","coffee","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"647",647,"fish","cake bar","baking powder","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA
"648",648,"baking powder","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"649",649,"ice cream","abrasive cleaner","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"650",650,"butter","baking powder","coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"651",651,"frozen vegetables","abrasive cleaner","ice cream","butter","coffee",NA,NA,NA,NA,NA,NA,NA
"652",652,"baking powder","ice cream","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"653",653,"ice cream","frozen vegetables","coffee","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"654",654,"honey","fish","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"655",655,"butter","frozen meals","fish","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"656",656,"coffee","honey","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"657",657,"honey","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",658,"abrasive cleaner","frozen vegetables","baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"659",659,"frozen meals","domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"660",660,"ice cream","cake bar","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"661",661,"baking powder","domestic eggs","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"662",662,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"663",663,"frozen vegetables","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"664",664,"butter","fish","frozen meals","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"665",665,"butter","baking powder","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"666",666,"baking powder","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"667",667,"fish","frozen vegetables","frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA
"668",668,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"669",669,"butter","coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"670",670,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"671",671,"fish","frozen meals","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA
"672",672,"baking powder","cake bar","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"673",673,"domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674",674,"frozen meals","fish","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"675",675,"baking powder","frozen meals","domestic eggs","butter",NA,NA,NA,NA,NA,NA,NA,NA
"676",676,"fish","frozen meals","domestic eggs","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"677",677,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",678,"frozen meals","frozen vegetables","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA
"679",679,"coffee","baking powder","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"680",680,"fish","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",681,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",682,"frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",683,"fish","coffee","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA
"684",684,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"685",685,"honey","frozen meals","ice cream","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"686",686,"frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"687",687,"honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",688,"honey","domestic eggs","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"689",689,"frozen vegetables","domestic eggs","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA
"690",690,"coffee","domestic eggs","butter","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"691",691,"butter","coffee","baking powder","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA
"692",692,"baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"693",693,"baking powder","domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"694",694,"coffee","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"695",695,"frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",696,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697",697,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"698",698,"frozen meals","cake bar","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"699",699,"honey","abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"700",700,"baking powder","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",701,"baking powder","fish","domestic eggs","cake bar","butter",NA,NA,NA,NA,NA,NA,NA
"702",702,"ice cream","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",703,"frozen vegetables","ice cream","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA,NA
"704",704,"butter","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"705",705,"honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706",706,"ice cream","fish","domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA
"707",707,"butter","baking powder","cake bar","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"708",708,"coffee","baking powder","fish","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"709",709,"abrasive cleaner","honey","frozen vegetables","fish","ice cream",NA,NA,NA,NA,NA,NA,NA
"710",710,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",711,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",712,"abrasive cleaner","coffee","fish","butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA
"713",713,"grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",714,"butter","coffee","baking powder","fish","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"715",715,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716",716,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",717,"baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",718,"butter","grapes","baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"719",719,"baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",720,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",721,"ice cream","grapes","domestic eggs","honey","fish",NA,NA,NA,NA,NA,NA,NA
"722",722,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",723,"grapes","ice cream","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"724",724,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",725,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",726,"frozen meals","butter","frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA
"727",727,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",728,"baking powder","abrasive cleaner","grapes","cake bar","butter","coffee",NA,NA,NA,NA,NA,NA
"729",729,"butter","abrasive cleaner","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"730",730,"cake bar","butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"731",731,"baking powder","coffee","butter","abrasive cleaner","fish","frozen meals",NA,NA,NA,NA,NA,NA
"732",732,"frozen meals","baking powder","coffee","butter","ice cream",NA,NA,NA,NA,NA,NA,NA
"733",733,"domestic eggs","grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"734",734,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735",735,"frozen meals","cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"736",736,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737",737,"ice cream","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",738,"butter","coffee","frozen vegetables","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"739",739,"grapes","honey","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"740",740,"frozen meals","fish","frozen vegetables","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"741",741,"grapes","domestic eggs","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"742",742,"baking powder","grapes","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA
"743",743,"abrasive cleaner","butter","frozen vegetables","grapes","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"744",744,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745",745,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",746,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747",747,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748",748,"ice cream","grapes","abrasive cleaner","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"749",749,"frozen vegetables","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"750",750,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"751",751,"frozen vegetables","domestic eggs","abrasive cleaner","honey","fish",NA,NA,NA,NA,NA,NA,NA
"752",752,"coffee","ice cream","butter","frozen vegetables","domestic eggs","fish",NA,NA,NA,NA,NA,NA
"753",753,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"754",754,"cake bar","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"755",755,"domestic eggs","cake bar","baking powder","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"756",756,"coffee","abrasive cleaner","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"757",757,"butter","ice cream","grapes","baking powder","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"758",758,"butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"759",759,"abrasive cleaner","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"760",760,"cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"761",761,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762",762,"frozen vegetables","butter","fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"763",763,"fish","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",764,"coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"765",765,"fish","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"766",766,"frozen meals","fish","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"767",767,"grapes","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768",768,"baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"769",769,"cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"770",770,"butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"771",771,"baking powder","butter","abrasive cleaner","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"772",772,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773",773,"grapes","butter","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA
"774",774,"baking powder","grapes","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"775",775,"frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"776",776,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",777,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",778,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",779,"butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"780",780,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781",781,"grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",782,"frozen vegetables","frozen meals","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"783",783,"abrasive cleaner","frozen vegetables","butter","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"784",784,"grapes","baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"785",785,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",786,"cake bar","frozen meals","ice cream","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA
"787",787,"baking powder","coffee","ice cream","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"788",788,"grapes","baking powder","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"789",789,"butter","frozen meals","grapes","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"790",790,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791",791,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792",792,"coffee","grapes","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"793",793,"cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794",794,"cake bar","butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"795",795,"grapes","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"796",796,"ice cream","domestic eggs","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"797",797,"coffee","butter","baking powder","honey","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"798",798,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799",799,"grapes","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"800",800,"honey","grapes","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"801",801,"honey","butter","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"802",802,"coffee","honey","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"803",803,"fish","abrasive cleaner","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"804",804,"cake bar","grapes","frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"805",805,"cake bar","butter","domestic eggs","grapes","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"806",806,"frozen meals","baking powder","frozen vegetables","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"807",807,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",808,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809",809,"honey","grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",810,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",811,"fish","butter","domestic eggs","cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"812",812,"baking powder","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",813,"butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814",814,"fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",815,"abrasive cleaner","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",816,"baking powder","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",817,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",818,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",819,"baking powder","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",820,"abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",821,"coffee","cake bar","domestic eggs","frozen meals","baking powder",NA,NA,NA,NA,NA,NA,NA
"822",822,"domestic eggs","ice cream","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"823",823,"abrasive cleaner","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",824,"coffee","fish","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"825",825,"baking powder","domestic eggs","frozen meals","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"826",826,"butter","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",827,"cake bar","baking powder","frozen meals","grapes","fish",NA,NA,NA,NA,NA,NA,NA
"828",828,"frozen meals","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",829,"frozen vegetables","abrasive cleaner","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"830",830,"coffee","frozen vegetables","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"831",831,"ice cream","frozen meals","frozen vegetables","domestic eggs","grapes",NA,NA,NA,NA,NA,NA,NA
"832",832,"coffee","frozen meals","honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"833",833,"grapes","coffee","fish","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"834",834,"frozen vegetables","grapes","domestic eggs","fish","cake bar",NA,NA,NA,NA,NA,NA,NA
"835",835,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836",836,"grapes","frozen meals","coffee","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"837",837,"cake bar","domestic eggs","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"838",838,"abrasive cleaner","cake bar","domestic eggs","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"839",839,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",840,"abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",841,"grapes","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",842,"fish","honey","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"843",843,"baking powder","fish","frozen vegetables","frozen meals","butter","domestic eggs",NA,NA,NA,NA,NA,NA
"844",844,"fish","cake bar","frozen vegetables","coffee","frozen meals","honey",NA,NA,NA,NA,NA,NA
"845",845,"frozen meals","cake bar","domestic eggs","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"846",846,"fish","butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
